# from
# http://migall.fastmail.fm.user.fm/astronomy/stars_and_nebulae/stars_detail/Luminosity.htm
# Surface Temperature K,Luminosity (Sols) (also size in sun diameters)
19272.05141025746, 21.82043646289099
17475.28258428348, 5.813430641072813
15860.138197854081, 0.7965486483581499
14714.399298354903, 0.38737159475704497
13411.085336765056, 0.19426189000218047
11950.12254198805, 0.1035396472869704
10421.069025155943, 0.07028182122382338
9499.594258969337, 0.046193324354579804
8285.174468643187, 0.036427622841665924
6688.989254010281, 0.021266264473283447
4890.818777203094, 0.010056402398911504
3161.329191222878, 0.002932634425484903
2016.9181714604238, 0.0008281440503811729
1097.9516225542866, 0.00019495608848233044
741.5634554381613, 0.00004444605086652596
520.6190214673916, 0.000008449746164052171
